repository,commit_sha,commit_date,commit_title,commit_message,commit_author,additions,deletions,total_changes
ros-planning/navigation2,8c4051dd2315631e9db680400802f58652afb1c5,2026-04-08T17:59:07Z,Fix SMAC Hybrid visualization offset from expansions to path (#6040),Signed-off-by: Om Jadhav <omjadhav9271@gmail.com>,omjadhav9271,2,2,4
ros-planning/navigation2,826f1d527a46088e03215b0becbd9e6f659520c4,2026-04-07T23:15:13Z,Using underlay workspace in github actions build against existing distro jobs (#6069),Signed-off-by: SteveMacenski <stevenmacenski@gmail.com>,SteveMacenski,2,0,2
ros-planning/navigation2,d85340a6d7cc4d5513f4657bd69c05d9f2aec5dc,2026-04-07T20:17:12Z,cross navigator preemption (#6018),"* fix: support preemption when switching between navigators

When a new navigation goal arrives while a different navigator is
already running, stop the current navigator and wait for it to fully
complete before accepting the new goal, instead of rejecting it.

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* allow_navigator_preemption parameter

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* Add navigator_preemption_timeout param and use rate instead of sleep

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* Update nav2_core/include/nav2_core/behavior_tree_navigator.hpp

Co-authored-by: Steve Macenski <stevenmacenski@gmail.com>
Signed-off-by: Antoine Van Malleghem <a.vanmalleghem@gmail.com>

* stop_navigation rename to stopNavigator + internal_cancel_requested_ when starting executing instead of after

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* Remove useless includes

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* chrono is still better for clarity

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* Rename to respect ""navigator preemption"" wording

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* navigator_preemption_identified_ to muxer_preemption_requested_

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* NavigatorMuxer test

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* Fix linter

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* Test BehaviorTreeNavigator class

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

* Fix test_behavior_tree_navigator.cpp

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>

---------

Signed-off-by: avanmalleghem <antoine.vanmalleghem@botronics.be>
Signed-off-by: Antoine Van Malleghem <a.vanmalleghem@gmail.com>
Co-authored-by: Steve Macenski <stevenmacenski@gmail.com>",avanmalleghem,390,58,448
ros-planning/navigation2,65b8d22cfc48c93692620ae4a9078fa8bbf5df49,2026-04-07T20:09:35Z,Enhance bounds calculation for rolling costmaps in StaticLayer (#6064),Signed-off-by: Tony Najjar <tony.najjar@dexory.com>,tonynajjar,23,7,30
ros-planning/navigation2,0c62720569428030e068d9eb26a4fe8928a18ab9,2026-04-07T19:47:32Z,update rotation shim controller docs (#6068),"* update rotation shim controller docs

* remove extra comment from example

Signed-off-by: EricoMeger <ericomeger9@gmail.com>

---------

Signed-off-by: EricoMeger <ericomeger9@gmail.com>",EricoMeger,10,8,18
ros-planning/navigation2,f88cd02fb2d64598203e7a0edb16f701e8437d3f,2026-04-03T22:12:02Z,Removed squaring from constrained smoother cost function shape (#6000),"* Removed squaring from constrained smoother cost function shape

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Moved sqrt to param loading

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Retuned parameters

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Updated the retuned parameters in tests

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Paritally fixed test- fixed all solvable performance decreases. Unsolvable: 483, 1044 (Could not nudge the smoothness improvement by increasing w_smooth

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Tuned ObstacleAvoidanceNearCusps to only have slight improvements

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Tuned ObstacleAvoidanceNearCusps to only have slight improvements

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Nudged improvement tests to expect better improvements

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Tuned ObstacleAvoidanceNearCusps to only have smoother paths -failing some tests

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Updated README

Signed-off-by: videh25 <videhpatel25@gmail.com>

* Modified testingObstacleAvoidanceNearCusps tests to be less fragile

Signed-off-by: videh25 <videhpatel25@gmail.com>

---------

Signed-off-by: videh25 <videhpatel25@gmail.com>",videh25,133,140,273
ros-planning/navigation2,ed082f4a23a826884da7736feb73be4900ba1a9c,2026-04-01T17:57:01Z,Bump to c++20 (#6059),Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>,mini-1235,18,20,38
ros-planning/navigation2,3a064e20b628ffe613d441c0553555e09f6a459e,2026-04-01T17:56:49Z,Fix start index not being reset when planning near the goal (#6058),"* Fix start index not being reset when planning near the goal

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

* Lint

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

---------

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>",mini-1235,40,8,48
ros-planning/navigation2,4370dfe35e9c1de166096dd677d7b54b611879c8,2026-04-01T17:52:50Z,Improve Loopback sim performance in raytracing for laserscan population (#6060),"* Adding inlined lineiterator to improve loopback sim perf

Signed-off-by: SteveMacenski <stevenmacenski@gmail.com>

* Fixed LineIterator bug

Signed-off-by: SteveMacenski <stevenmacenski@gmail.com>

* linting

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: SteveMacenski <stevenmacenski@gmail.com>
Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>",SteveMacenski,132,31,163
ros-planning/navigation2,795c30ccd69b33e3c27da7eae1b15c908667d795,2026-03-31T21:33:28Z,Add omni (SE2) analytic expansion to SmacPlannerLattice (#5965),"* Add omni analytic expansion support to SmacPlannerLattice

When lattice file specifies motion_model: omni, use SE2StateSpace
for analytic expansion instead of Dubins/Reeds-Shepp curves.
This produces straight-line paths for holonomic robots instead of
arc-based paths with unnecessary rotations.

Fixes ros-navigation/navigation2#2683
Related: #5231, #4262

Signed-off-by: Ron Danon <rondanon@gmail.com>

* Add OMNI to motion model guards in SmacPlannerLattice

Fixes ros-navigation/navigation2#2683
Related: #5231, #4262

Signed-off-by: Ron Danon <rondanon@gmail.com>

* Revert OMNI motion model guards that are unreachable

Fixes ros-navigation/navigation2#2683
Related: #5231, #4262

Signed-off-by: Ron Danon <rondanon@gmail.com>

* Fix smoother and reverse expansion for OMNI lattice robots

Set smoother to holonomic mode when lattice metadata indicates omni,
avoiding incorrect Dubins boundary conditions on holonomic paths.
Disable allow_reverse_expansion for omni robots with a warning, as
the concept of reverse is meaningless for holonomic motion.

Fixes ros-navigation/navigation2#2683
Related: #5231, #4262

Signed-off-by: Ron Danon <rondanon@gmail.com>

* Add OMNI test coverage for SmacPlannerLattice configure and reconfigure

Signed-off-by: Ron Danon <rondanon@gmail.com>

* Fix OMNI test to directly exercise LatticeMotionTable::initMotionModel

Signed-off-by: Ron Danon <rondanon@gmail.com>

---------

Signed-off-by: Ron Danon <rondanon@gmail.com>",ManMan88,219,5,224
ros-planning/navigation2,881e87b30eca34aa74269a7b35b49c636a2d352b,2026-03-30T21:01:46Z,ci(mergify): upgrade configuration to current format (#6051),Co-authored-by: mergify[bot] <37929162+mergify[bot]@users.noreply.github.com>,mergify[bot],26,31,57
ros-planning/navigation2,68493b03cb0c3d5ebdd9cd5bae4b61f6db18b1bc,2026-03-27T18:27:56Z,Fix CostmapSubscriber isCostmapReceived data race (#6009) (#6026),"* Add mutex guard to isCostmaFix CostmapSubscriber isCostmapReceived data race (#6009)pReceived method

Added atomic include and mutex guard for costmap check.

Signed-off-by: Sania Shah <s77shah@uwaterloo.ca>

* Format isCostmapReceived function for clarity

Signed-off-by: Sania Shah <s77shah@uwaterloo.ca>

* fixup! Fix CostmapSubscriber isCostmapReceived data race (#6009)

Signed-off-by: Sania Shah <s77shah@uwaterloo.ca>

* Fix isCostmapReceived function formatting

Signed-off-by: Sania Shah <s77shah@uwaterloo.ca>

* Fix CostmapSubscriber formatting for lint

Signed-off-by: Sania Shah <s77shah@uwaterloo.ca>

---------

Signed-off-by: Sania Shah <s77shah@uwaterloo.ca>",s77shah,9,2,11
ros-planning/navigation2,d44707b95873a118a5b47349e91436e14b34afc2,2026-03-25T00:47:30Z,Changing RC to reference so that the navigator's on completion cb may change result statuses with internal context (#6046),Signed-off-by: SteveMacenski <stevenmacenski@gmail.com>,SteveMacenski,7,7,14
ros-planning/navigation2,6fd9ae37cdff2011b005f1078c514043863bf146,2026-03-19T14:57:55Z,MPPI: visualize trajectory per-critic + total costs (#6036),"* Add per-critic cost coloring

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* apply fixes

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Pr comments, simplify

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* fix test

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* maxGapSplit

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Revert ""maxGapSplit""

This reverts commit c198a95109c921397495fdcdba7231b786631147.

* Add collision detection to CriticData and update related components

- Introduced `trajectories_in_collision` to `CriticData` for tracking trajectory collisions.
- Updated `Optimizer`, `CostCritic`, and `ObstaclesCritic` to populate collision data.
- Modified `TrajectoryVisualizer` to visualize collision status in trajectories.
- Adjusted tests to accommodate changes in `CriticData` structure.

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* replace publish_critics_stat with visualize

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Enhance collision coloring for per-critic cost layers in TrajectoryVisualizer

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Add visualize_cost_layer parameter and update TrajectoryVisualizer to support cost layer visualization

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* renaming

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Refactor collision handling in CriticData: initialize trajectories_in_collision in evalTrajectoriesScores and remove redundant resizing in critics

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Remove show_collisions parameter from TrajectoryVisualizer and related methods

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Refactor collision tracking in CriticData: use track_collisions flag for conditional updates in score methods

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Refactor visualize method in MPPIController: simplify access to critic costs

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Add visualize_cost_layer parameter and improve collision handling in visualizer

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* more readable cost fetching

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* fix

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* reduce the diff

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* reduce more diff

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* store clock

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* improve cost normalization by using numeric limits for min and max values

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* rename visualize_cost_layer to critic_index_to_visualize for clarity

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* refactor visualize method to use critic_index_to_visualize directly

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Apply suggestion from @SteveMacenski

Co-authored-by: Steve Macenski <stevenmacenski@gmail.com>
Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

* Update nav2_mppi_controller/src/critics/obstacles_critic.cpp

Co-authored-by: Steve Macenski <stevenmacenski@gmail.com>
Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>

---------

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>
Signed-off-by: Tony Najjar <tony.najjar.1997@gmail.com>
Co-authored-by: Steve Macenski <stevenmacenski@gmail.com>",tonynajjar,224,56,280
ros-planning/navigation2,7e657bf9c95e9dabcadc910df180d17e686ad743,2026-03-18T04:09:20Z,[collision_monitor] Add temporal debounce for min_points trigger (#6006),"* feat(collision_monitor): add temporal debounce for min_points triggers

Signed-off-by: Xlqmu <3212929002@qq.com>

* test(collision_monitor): cover debounce trigger/release behavior

Signed-off-by: Xlqmu <3212929002@qq.com>

* style(collision_monitor): satisfy uncrustify for debounce tests

Signed-off-by: Xlqmu <3212929002@qq.com>

* Refine trigger parameter validation and state initialization

Signed-off-by: Xlqmu <3212929002@qq.com>

* Add coverage for trigger parameter validation

Signed-off-by: Xlqmu <3212929002@qq.com>

* refactor(collision_monitor): simplify debounce and reset lifecycle state

Signed-off-by: Xlqmu <3212929002@qq.com>

* refactor(collision_monitor): encapsulate trigger evaluation in polygon API

Signed-off-by: Neomelt <niezhenghua2004@gmail.com>

---------

Signed-off-by: Xlqmu <3212929002@qq.com>
Signed-off-by: Neomelt <niezhenghua2004@gmail.com>",Neomelt,220,4,224
ros-planning/navigation2,c965a7917691a7bc398f6e9f24868e513a152d58,2026-03-18T00:19:21Z,Add LatchedPublisher QoS for dock and staging pose. (#6038),Signed-off-by: Sebastian Solarte <johan.solarte@kiwibot.com>,Sunart24,10,6,16
ros-planning/navigation2,42d7f44409d0434f29ee08403015f9cc7b7bcb3b,2026-03-17T20:29:37Z,nav2_costmap_2d: warn on origin misalignment in StaticLayer (#6039),"* nav2_costmap_2d: warn on origin misalignment in StaticLayer

This commit adds a warning in the static layer's map processing
logic when the incoming map's origin is not aligned on the grid anchored
at (0, 0) and defined by the costmap resolution. This can typically
lead to misalignment between the global and local (rolling) costmap.

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>

* Update nav2_costmap_2d/plugins/static_layer.cpp

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

* Update nav2_costmap_2d/plugins/static_layer.cpp

Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>

---------

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>
Signed-off-by: Steve Macenski <stevenmacenski@gmail.com>
Co-authored-by: Steve Macenski <stevenmacenski@gmail.com>",DylanDeCoeyer-Quimesis,14,0,14
ros-planning/navigation2,cbd0b67ff299b7b9b821fbe10683628d9e8e065a,2026-03-16T16:01:59Z,Fix SpinAction not forwarding disable_collision_checks to goal (#6035),"The `disable_collision_checks` port was declared in `providedPorts()`
and the field exists in the Spin action definition, but `initialize()`
never read the input or set it on the goal. This meant the spin
behavior always ran with collision checks enabled regardless of the
BT XML configuration.

Read the `disable_collision_checks` BT input and forward it to the
action goal. Add a dedicated test to verify the field is propagated.

Signed-off-by: Johannes Plapp <johannes.plapp@logivations.com>
Co-authored-by: Claude Opus 4.6 (1M context) <noreply@anthropic.com>",jplapp,25,0,25
ros-planning/navigation2,b7f5bfa3d2b211b795f487d5db4ab4407f9ebb11,2026-03-16T16:00:50Z,fix nav_to_pose planning every iteration (#6029),"PR https://github.com/ros-navigation/navigation2/pull/5876 added `IsGoalNearby` condition to the sequence.
However, when to goal is far, this action is Always Failure => always trigger the Fallback and planning

Changed logic to replan if:
- path is invalid - always
- goal updated - always
- IsGoalNearby AND timer expired

Signed-off-by: Adi Vardi <adi.vardi@enway.ai>",adivardi,8,6,14
ros-planning/navigation2,308129ec9c3f94e7eb2127515b513045f49269be,2026-03-13T00:55:04Z,Fix Layer::current_ data races in costmap layers (#6022),"- change Layer::current_ from bool to std::atomic_bool
- consistently use setCurrent()/isCurrent() for current_ accesses

Signed-off-by: shosae <phone13324@gmail.com>",shosae,49,53,102
ros-planning/navigation2,8641666430a274883ba7f49b494f7da47593b06b,2026-03-12T21:03:00Z,costmap_2d: fix conversion of costmap size to meters (#6028),"* costmap_2d: fix conversion of costmap size to meters

The size of the costmap should be simply computed as the number of cells
multiplied by the resolution. However, the size was currently shortened
by a half cell.

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>

* nav2_system_tests: fix expected error message in 'Test goal out of bounds'

The expected error message was incomplete, leading to a test failure.

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>

* path_handler: fix TestBounds and TestBoundsWithConstraintCheck

The costmap is 5x5m. So, the half width should be 2.5 and not 2.475.

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>

---------

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>",DylanDeCoeyer-Quimesis,13,12,25
ros-planning/navigation2,6cd4bb8f4631a38bab1c131c073178a0ed5488db,2026-03-11T23:43:31Z,nav2_rotation_shim_controller: add transform_tolerance parameter (#6020),"* nav2_rotation_shim_controller: add transform_tolerance parameter

Until now, the tolerance used in this plugin when transforming a pose
was always the default one (0.1s) This value might not be insufficient
in some cases, so let's make it a parameter.

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>

* nav2_rotation_shim_controller: use costmap TF tolerance instead of new parameter

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>

---------

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>",DylanDeCoeyer-Quimesis,3,1,4
ros-planning/navigation2,8287ff2c2320990f52c75f1877b9876b8c7a77e6,2026-03-10T12:26:48Z,:adhesive_bandage: enable dynamic update of desired linear vel (#6021),Signed-off-by: Decwest <fumiyaonishi1016@gmail.com>,decwest,3,0,3
ros-planning/navigation2,c09ee5658f2139edac434567668e3a23cde0145c,2026-03-09T17:08:31Z,Enhance logging to include quaternion orientation for poses (#6019),"* Enhance exception warning logging to include quaternion orientation for start and goal poses

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Add yaw

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

* Refactor exception warning logging to improve quaternion orientation output format

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>

---------

Signed-off-by: Tony Najjar <tony.najjar@dexory.com>",tonynajjar,11,0,11
ros-planning/navigation2,554e0ff999933dca6c4243ad94e08f4438388a9f,2026-03-09T04:48:13Z,"Move isStopped, isPathValid and isPoseOccupied from condition nodes to action nodes (#5991)","* Move isStopped, isPathValid and isPoseOccupied from condition nodes to action nodes

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

* Fix tests

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

* Self review

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

* Update key for codecov

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>

---------

Signed-off-by: mini-1235 <mauricepurnawan@gmail.com>",mini-1235,467,475,942
ros-planning/navigation2,d58c9be5cf536d6d469be025bd7d6b95b015d7e2,2026-03-06T20:43:25Z,Add out_dir parameter to RewrittenYaml substitution (#6001) (#6005),"This commit introduces an optional out_dir parameter to the
RewrittenYaml class constructor. Passing this parameter to the
underlying temporary file generator allows developers to specify a
custom output directory instead of defaulting to the system's temporary
folder.

Signed-off-by: Dylan De Coeyer <dylan.decoeyer@quimesis.be>",DylanDeCoeyer-Quimesis,13,1,14
